(Revised) Domains and Topics,Description,Short description,Remember,Understand,Apply,Analyse,Evaluate,Create,N/A
1. Genomes and microbiology (Foundational Concepts),"Core biological concepts that underpin pathogen genomics are introduced, including microbial structure, function, and classification. The topic establishes a foundation in microbiology‚ covering bacteria, viruses, fungi, and parasites‚ and explores how genomic variation impacts biology, pathogenicity and virulence.  Key genomic principles such as genome organization, replication, and gene expression are discussed.  Emphasis is placed on the integration of microbiological and genomic perspectives to better understand pathogen behavior, transmission, and adaptation.",,,,,,,,
Genes and genomic variation,"Fundamental concepts of how genes and genomic variation are foundational to pathogen genomics. This area explores the structure, function, and regulation of genes in microbial genomes, including how they encode proteins, regulate cellular processes, and respond to environmental pressures. It also examines how variation arises through mutation, recombination, and horizontal gene transfer. These changes contribute to the genetic diversity of pathogens and play critical roles in adaptation, resistance, and evolution. Learners will explore different types of mutations‚ such as SNPs, insertions, deletions, and mobile elements‚ and their functional effects. These insights are essential for interpreting sequence data and linking genotypes to phenotypes in infectious disease contexts.",Foundational concepts of pathogen genomics and genetic variation.,"Identify the fundamental concepts of genomics, including the basic structure of genes and the types of genomic variation (K)","Explain the structure of genes, genomic variation, and their influence on pathogen behaviour (K)",Use knowledge of gene structure and genetic variation to infer function (K),Examine the structure and function of genes and genomic variations that drive disease mechanisms.(K),Evaluate the functional impacts of genomic structure and genetic variation on infectious disease pathology (K),Design innovative approaches to apply genomic knowledge to study biological and disease mechanisms (K),
Biological and resistance mechanisms of pathogens,"Biological processes, host interactions, and resistance mechanisms of infectious pathogens, focusing on their molecular and cellular biology, and how they adapt and survive in various environments. It covers the structure, function, and lifecycle of infectious agents (bacteria, viruses, fungi, and parasites), the mechanisms they use to invade hosts and evade defenses, and how these processes contribute to disease or environmental impact. The topic also examines genetic and biochemical pathways driving resistance, such as mutations, horizontal gene transfer, and adaptation to selective pressures. By integrating these areas, learners gain a comprehensive understanding of how pathogens interact with hosts or ecosystems, develop resistance, and influence broader biological systems.","Processes involving how infectious pathogens adapt, interact with their environments, and develop resistance through biological and genetic mechanisms.","Recall key facts and concepts about pathogens, including their structures, life cycles, and the ways they resist antimicrobial treatments.(K)",Explain how pathogens interact with their hosts and the ways they develop resistance to drugs or treatments.(K),"Use knowledge of pathogen biology and resistance to predict patterns of infection or resistance in different scenarios.(K,S)","Examine how pathogen biology, host factors, and resistance mechanisms work together to influence the progression of infectious diseases.(S)","Critically assess current knowledge of  pathogen-host interactions, disease and resistance mechanisms, identifying gaps or limitations.(K)","Develop approaches to describe how infectious pathogens adapt and evolve over time and their impact on disease and treatment (K,S)",
Pathogenicity and virulence,"Pathogenicity and virulence refer to a pathogen's ability to cause disease and the severity of the disease. This topic explores the genetic and molecular determinants that enable pathogens to invade hosts, evade immune responses, and inflict cellular damage. Learners will examine virulence factors such as toxins, adhesion molecules, secretion systems, and mechanisms of immune evasion, all of which contribute to disease outcomes. The topic also includes the role of genomics in identification of virulence-associated genes and understand how these elements differ among strains and species. These insights support the development of diagnostic tools, therapeutic targets, and infectious disease surveillance strategies.",Factors that cause disease and it severity.,Define pathogenicity and virulence (K) ,Describe how pathogenic elements and virulence factors contribute to pathogen epidemiology (K),"Apply knowledge of pathogenicity and virulence in assessing disease risk and  in infection control practices. (K,S)",Differentiate between microbes based on their pathogenicity and virulence profiles. (K),Measure the impact of pathogenic elements and virulence factors on disease outcomes and infection control practices (S),"Design innovative approaches for investigating infectious microbes' pathogenicity and virulence. (K,S)",
2. Sample Preparation and Processing,"Sample preparation and processing involve the technical steps required to generate high-quality input material for sequencing and analysis. This topic includes guidance on sample collection, transport, storage, and biosafety procedures, especially for clinical or field settings. It covers nucleic acid extraction and quantification techniques that ensure the integrity and quality of DNA or RNA for sequencing. The topic also addresses common challenges such as contamination and degradation, and provides best practices to minimize these risks. A well-executed preparation protocol is critical for accurate and reproducible genomic results.",,,,,,,,
Ethics and consent,"Ethical considerations and consent processes specific to the collection and preparation of biological samples for genomics applications in infectious diseases. Emphasis is on  ensuring respect for individual rights, privacy, and cultural contexts while obtaining samples for clinical, public health, or research purposes. Key considerations include informed consent tailored to sample collection, transparency in communicating the purpose and use of samples, and addressing ethical challenges during collection in outbreak or vulnerable settings. The topic also highlights practices that ensure fairness in how samples are collected, processed, and used for diagnostics, disease surveillance, or research.","Ethical principles and consent processes needed to collect and prepare biological samples for genomics in infectious diseases, ensuring respect for individual rights.",Recall the ethical principles and consent requirements specific to sample collection and preparation in genomics for infectious diseases.(K),"Recall ethical principles, regulations, and guidelines for sample collection and preparation in genomics applications for infectious diseases.(K)",Apply ethical considerations to collection and processing samples and related data for genomic analysis (K),Analyse ethical dilemmas related to sample collection and processing for genomic analysis (K),"Critically assess whether a sample collection and preparation process upholds ethical standards, balancing individual rights with the demands of genomics research or public health (K). ",Design an ethically sound and culturally sensitive protocol for the collection and preparation of biological samples for genomic applications focused on infectious agents and disease management (K),
Sample collection,"Collection of samples for microbiological testing, molecular diagnostics, and genomic analysis, emphasising techniques that ensure the integrity and reliability of samples for downstream applications. The topic  encompasses the collection of various specimen types, such as blood, swabs, tissues, and environmental samples, while adhering to microbiological best practices, including aseptic techniques and contamination prevention. It  highlights the importance of matching sample collection methods to specific analytical needs, such as pathogen isolation, nucleic acid extraction, or genomic sequencing and  addresses the procedural and safety considerations required to maintain the quality of microbial samples, ensuring their suitability for accurate identification, characterisation, and analysis","Principles and practices for collecting samples for microbiological and molecular testing, and genomic analysis.","Recall key methods, tools, and protocols used to collect samples for microbiological, molecular, and genomic analyses (K).",Explain the importance of proper sample collection techniques to maintain the quality and integrity of specimens for microbiological and genomic analysis (K),Apply appropriate techniques to collect and handle samples for specific diagnostic or genomic purposes (S). ,Analyse factors that affect the quality and suitability of samples for microbiological and genomic workflows (K).," Critically evaluate sample collection protocols to ensure they meet the requirements for microbiological testing, molecular diagnostics, and genomic analyses (K).","Design a sample collection strategy that ensures the integrity and appropriateness of samples for microbiological, molecular, and genomic analyses (K,S).",
Sample preservation,"Preservation of  biological samples for microbiological testing, molecular diagnostics, and genomic analysis, ensuring their integrity and suitability for downstream applications. it covers the principles and methods for stabilising samples to prevent degradation of microorganisms, nucleic acids, or proteins, including the use of appropriate storage media, temperature conditions, and transport practices. learners will explore how preservation techniques vary depending on the sample type (e.g., blood, swabs, tissues, environmental specimens) and the intended analysis. The  topic also addresses challenges such as maintaining viability for microbial cultures, preventing nucleic acid degradation for molecular and genomic studies, and complying with biosafety standards during sample handling and storage.","Methods and principles for preserving biological samples to maintain their integrity for microbiological, molecular, and genomic analyses.","Recall key methods and conditions used to preserve samples for microbiological, molecular, and genomic applications.(K)",Explain the importance of sample preservation in maintaining the viability and integrity of specimens for accurate downstream testing. (K),Apply appropriate preservation techniques to maintain the integrity of different types of microbiological samples.(S),Analyse factors that influence the effectiveness of preservation methods for different sample types and analyses.(S),"Appraise sample preservation protocols to ensure they align with the requirements of microbiological, molecular, or genomic workflows.(S)","Design a sample preservation strategy tailored to specific microbiological or genomic applications, ensuring sample stability and compliance with best practices.(K,S)",
Sample preparation for pathogen detection and analysis,"Preparation of  biological and environmental samples for detecting and analysing pathogens using microbiological, biochemical, and molecular techniques. Topic includes processes such as  pathogen isolation and enrichment, sample homogenisation, and preparation for diagnostic assays (e.g., culture, antigen-based testing, microscopy). Key  considerations include preventing contamination, optimising sample integrity, and ensuring the suitability of prepared samples for pathogen identification and characterization. The aim is to generate reliable and actionable data on pathogen presence, type, and characteristics for applications in clinical diagnostics, research, and public health.","Methods for preparing samples to detect and analyse pathogens through microbiological, biochemical, and molecular tests.","Recall methods used for sample preparation in pathogen detection (e.g. filtration, centrifugation, or selective culturing for isolating pathogens).(K)","Explain the importance of sample preparation techniques, such as enrichment methods, and identify the most suitable approach for specific pathogen detection scenarios.(K)",Apply appropriate sample preparation methods based on the type of pathogen and detection technique (S). ,Analyse potential issues in sample preparation that could affect pathogen detection accuracy (S),Critically evaluate the effectiveness of sample preparation techniques and their impact on the accuracy and reliability of pathogen detection results (S),"Design a sample preparation workflow for detecting specific pathogens in complex samples (K,S)",
Sample preparation for genomic analysis,"Preparation of biological samples for genomic analysis, emphasising high-quality nucleic acid (dna/rna) extraction. It includes processes such as cell lysis, nucleic acid isolation, purification, and preparation of sequencing libraries. Key considerations include preventing degradation, removing inhibitors, and ensuring the integrity and concentration of nucleic acids. ",Techniques for preparing high-quality DNA or RNA from biological samples for genomic analysis.,Recall key steps and tools used in nucleic acid preparation for genomic analysis.(K),Describe the importance of each step in the sample preparation process and how it influences the quality of genomic analysis (K),"Execute standard protocols for sample preparation, ensuring proper handling and optimisation of nucleic acid quality for genomic workflows.(S)",Examine sample preparation outputs and determine factors that impact suitability of genomic samples for downstream applications.(S),Critically evaluate the effectiveness of sample preparation techniques  for various types of samples and their impact on genomic analysis outputs (S),"Develop a comprehensive sample preparation protocol tailored for a specific genomic analysis technique, integrating best practices and innovations (K, S)",
